1.726435560000000000e+12,5.953859999999999854e+04,5.954459999999999854e+04,5.953640000000000146e+04,5.953640000000000146e+04,2.428000000000000000e+03,2.428000000000000114e+01,1.445632569700000109e+06,1.000000000000000000e+00
1.726435500000000000e+12,5.954009999999999854e+04,5.955509999999999854e+04,5.953850000000000000e+04,5.953850000000000000e+04,3.158800000000000182e+03,3.158800000000000097e+01,1.880881939199999906e+06,1.000000000000000000e+00
1.726435440000000000e+12,5.958800000000000000e+04,5.959140000000000146e+04,5.954000000000000000e+04,5.954009999999999854e+04,4.444500000000000000e+03,4.444500000000000028e+01,2.647169812100000214e+06,1.000000000000000000e+00
1.726435380000000000e+12,5.962980000000000291e+04,5.962990000000000146e+04,5.958800000000000000e+04,5.958800000000000000e+04,1.968900000000000091e+03,1.968900000000000006e+01,1.173715603399999905e+06,1.000000000000000000e+00
1.726435320000000000e+12,5.962600000000000000e+04,5.962990000000000146e+04,5.962600000000000000e+04,5.962980000000000291e+04,4.661000000000000227e+02,4.660999999999999588e+00,2.779263315999999759e+05,1.000000000000000000e+00
1.726435260000000000e+12,5.962600000000000000e+04,5.963059999999999854e+04,5.962590000000000146e+04,5.962609999999999854e+04,1.059599999999999909e+03,1.059600000000000009e+01,6.318326874000000535e+05,1.000000000000000000e+00
1.726435200000000000e+12,5.963019999999999709e+04,5.963240000000000146e+04,5.960950000000000000e+04,5.962600000000000000e+04,3.193599999999999909e+03,3.193599999999999994e+01,1.903858710800000001e+06,1.000000000000000000e+00
1.726435140000000000e+12,5.963419999999999709e+04,5.963419999999999709e+04,5.960000000000000000e+04,5.963019999999999709e+04,3.572199999999999818e+03,3.572200000000000131e+01,2.129621366599999834e+06,1.000000000000000000e+00
1.726435080000000000e+12,5.965759999999999854e+04,5.966140000000000146e+04,5.963109999999999854e+04,5.963409999999999854e+04,3.256699999999999818e+03,3.256700000000000017e+01,1.942416774999999907e+06,1.000000000000000000e+00
1.726435020000000000e+12,5.969309999999999854e+04,5.971600000000000000e+04,5.965500000000000000e+04,5.965750000000000000e+04,4.657800000000000182e+03,4.657800000000000296e+01,2.780324046399999876e+06,1.000000000000000000e+00
1.726434960000000000e+12,5.958809999999999854e+04,5.970690000000000146e+04,5.958800000000000000e+04,5.969309999999999854e+04,1.717279999999999927e+04,1.717280000000000086e+02,1.024563646890000068e+07,1.000000000000000000e+00
1.726434900000000000e+12,5.955600000000000000e+04,5.958759999999999854e+04,5.955600000000000000e+04,5.958759999999999854e+04,4.406100000000000364e+03,4.406099999999999994e+01,2.624725872099999804e+06,1.000000000000000000e+00
1.726434840000000000e+12,5.957109999999999854e+04,5.959359999999999854e+04,5.955600000000000000e+04,5.955600000000000000e+04,5.862199999999999818e+03,5.862199999999999989e+01,3.491940139800000004e+06,1.000000000000000000e+00
1.726434780000000000e+12,5.957559999999999854e+04,5.959850000000000000e+04,5.956209999999999854e+04,5.957109999999999854e+04,5.754199999999999818e+03,5.754200000000000159e+01,3.428105751499999780e+06,1.000000000000000000e+00
1.726434720000000000e+12,5.959619999999999709e+04,5.960730000000000291e+04,5.955690000000000146e+04,5.957609999999999854e+04,5.230600000000000364e+03,5.230599999999999739e+01,3.116396774900000077e+06,1.000000000000000000e+00
1.726434660000000000e+12,5.962069999999999709e+04,5.962109999999999854e+04,5.957200000000000000e+04,5.959619999999999709e+04,7.874100000000000364e+03,7.874099999999999966e+01,4.692835727500000037e+06,1.000000000000000000e+00
1.726434600000000000e+12,5.963019999999999709e+04,5.964280000000000291e+04,5.954480000000000291e+04,5.962069999999999709e+04,2.031309999999999854e+04,2.031310000000000002e+02,1.210444421539999917e+07,1.000000000000000000e+00
1.726434540000000000e+12,5.963000000000000000e+04,5.964769999999999709e+04,5.961740000000000146e+04,5.963019999999999709e+04,7.224500000000000000e+03,7.224500000000000455e+01,4.308215148000000045e+06,1.000000000000000000e+00
1.726434480000000000e+12,5.957150000000000000e+04,5.964500000000000000e+04,5.954830000000000291e+04,5.963000000000000000e+04,1.046450000000000000e+04,1.046449999999999960e+02,6.235051646800000221e+06,1.000000000000000000e+00
1.726434420000000000e+12,5.962369999999999709e+04,5.964080000000000291e+04,5.957000000000000000e+04,5.957200000000000000e+04,7.188300000000000182e+03,7.188299999999999557e+01,4.284232114199999720e+06,1.000000000000000000e+00
1.726434360000000000e+12,5.964280000000000291e+04,5.964669999999999709e+04,5.958409999999999854e+04,5.962369999999999709e+04,2.436200000000000000e+04,2.436200000000000045e+02,1.452651797419999912e+07,1.000000000000000000e+00
1.726434300000000000e+12,5.959100000000000000e+04,5.965030000000000291e+04,5.956200000000000000e+04,5.964209999999999854e+04,3.240859999999999854e+04,3.240860000000000127e+02,1.932406728790000081e+07,1.000000000000000000e+00
1.726434240000000000e+12,5.968890000000000146e+04,5.968890000000000146e+04,5.954000000000000000e+04,5.959109999999999854e+04,5.849240000000000146e+04,5.849239999999999782e+02,3.486512773080000281e+07,1.000000000000000000e+00
1.726434180000000000e+12,5.974219999999999709e+04,5.974219999999999709e+04,5.967900000000000000e+04,5.968890000000000146e+04,6.723399999999999636e+03,6.723399999999999466e+01,4.013627631099999882e+06,1.000000000000000000e+00
1.726434120000000000e+12,5.974950000000000000e+04,5.976000000000000000e+04,5.974209999999999854e+04,5.974209999999999854e+04,2.299099999999999909e+03,2.299099999999999966e+01,1.373674007599999895e+06,1.000000000000000000e+00
